Photo,Article title in Portuguese,Date,Where it was published,Article URL
https://f.i.uol.com.br/fotografia/2022/10/28/1666967918635be96e1737e_1666967918_3x2_rt.jpg,Eleição chega ao 2º turno com expectativa de redução nas filas de votação,2022-10-29 11:07:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2022/10/eleicao-chega-ao-2o-turno-com-expectativa-de-reducao-nas-filas-de-votacao.shtml
https://f.i.uol.com.br/fotografia/2022/05/25/1653510814628e929e8c4c6_1653510814_3x2_xl.jpg,Lula e Bolsonaro focam economia e ignoram corrupção no YouTube,2022-09-22 04:00:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2022/09/lula-e-bolsonaro-focam-economia-e-ignoram-corrupcao-no-youtube.shtml
https://f.i.uol.com.br/fotografia/2022/03/03/16463283986220fa4e342c0_1646328398_3x2_rt.jpg,Quem é e como opera o grupo hacker Lapsus$ e sua ligação com o Brasil,2022-04-12 19:19:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2022/04/grupo-hacker-lapsus-exporta-malandragem-brasileira.shtml
https://f.i.uol.com.br/fotografia/2018/04/10/15233876735acd0d19a9b6f_1523387673_3x2_rt.jpg,"Facebook é parte do problema, mas há manipulação em outras empresas, diz especialista",2021-11-10 04:00:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2021/11/facebook-e-parte-do-problema-mas-ha-manipulacao-em-outras-empresas-diz-especialista.shtml
https://f.i.uol.com.br/fotografia/2020/06/13/15920928605ee568bc34724_1592092860_3x2_rt.jpg,"Hackers miram vacinas, setor da saúde e param hospitais na pandemia",2021-02-24 02:01:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2021/02/hackers-miram-empresas-de-vacinas-e-saude-na-pandemia.shtml
https://f.i.uol.com.br/fotografia/2020/11/15/16054667765fb17a9816069_1605466776_3x2_rt.jpg,Custo de voto em mulheres chega a ser quase 70 vezes mais caro que em homens,2021-02-06 23:15:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2021/02/custo-de-voto-em-mulheres-chega-a-ser-quase-70-vezes-mais-caro-que-em-homens.shtml
https://f.i.uol.com.br/fotografia/2020/11/15/16054917075fb1dbfb1df3d_1605491707_3x2_rt.jpg,Grupo hacker que atacou o TSE é conhecido por iniciativas semelhantes,2020-11-16 17:34:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2020/11/grupo-hacker-que-atacou-o-tse-e-conhecido-por-iniciativas-semelhantes.shtml
https://f.i.uol.com.br/fotografia/2017/12/21/15138660695a3bc35536e43_1513866069_3x2_rt.jpg,"Leitura de 'termos e condições' de serviços na internet exige 4,5 horas",2017-12-24 02:00:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2017/12/1945132-leitura-de-termos-e-condicoes-de-servicos-na-internet-exige-45-horas.shtml
https://f.i.uol.com.br/fotografia/2017/12/21/15138681055a3bcb4967885_1513868105_3x2_md.jpg,,,,https://www1.folha.uol.com.br/tec/2017/12/1945134-brasil-deve-ter-lei-de-protecao-de-dados-so-no-fim-de-2018-dizem-especialistas.shtml
https://f.i.uol.com.br/fotografia/2022/03/03/1646361047622179d720b99_1646361047_3x2_rt.jpg,Internet capenga não aguentará o metaverso,2022-03-03 23:45:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2022/03/internet-capenga-nao-aguentara-o-metaverso.shtml
https://f.i.uol.com.br/fotografia/2019/11/03/15728234855dbf61be0026c_1572823485_3x2_rt.jpg,Cotista tem nota de corte maior que não cotista em 25% dos cursos do Sisu,2022-05-07 11:00:00,Folha de S.Paulo - Educação,https://www1.folha.uol.com.br/educacao/2022/05/cotista-tem-nota-de-corte-maior-que-nao-cotista-em-25-dos-cursos-do-sisu.shtml
https://f.i.uol.com.br/fotografia/2017/10/25/150894414159f0a90de84bc_1508944141_3x2_xl.jpg,Grupos de cibercrime se profissionalizam e lucro dispara,2022-04-02 16:00:00,Folha de S.Paulo - Tec,https://www1.folha.uol.com.br/tec/2022/04/grupos-de-cibercrime-se-profissionalizam-e-lucro-dispara.shtml
https://f.i.uol.com.br/fotografia/2018/09/19/15373671355ba25c5f49b58_1537367135_3x2_rt.jpg,"Em meio a debate sobre segurança, TSE planeja colocar código da urna na internet",2018-09-20 12:52:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2018/09/em-meio-a-debate-sobre-seguranca-tse-planeja-colocar-codigo-da-urna-na-internet.shtml
https://f.i.uol.com.br/fotografia/2018/02/06/15179251635a79b32b162f3_1517925163_3x2_rt.jpg,Fake news ganha espaço no Facebook e jornalismo profissional perde,2018-02-08 02:00:00,Folha de S.Paulo - Política,https://www1.folha.uol.com.br/poder/2018/02/fake-news-ganha-espaco-no-facebook-e-jornalismo-profissional-perde.shtml
http://f.i.uol.com.br/folha/mercado/images/17293556.png,,,,https://www1.folha.uol.com.br/tec/2017/10/1928985-rastro-deixado-na-internet-inclui-de-nome-da-mae-a-preferencias-amorosas.shtml
